variant,run_id,device,batch_size,lat_exit1_ms,lat_exit2_ms,lat_exit3_ms,exit1_flops,exit2_flops,exit3_flops,expected_mflops,full_mflops,compute_saving_pct,K,tap_blocks,n_mels,frames,lat_exit4_ms,exit4_flops,lat_exit5_ms,exit5_flops
v0.2,v0_2_021,cpu,16,0.38208007059332133,3.4083659637065886,6.434664991684258,1861696,16607360,31353088,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.2,v0_2_007,cpu,16,0.31545513928155583,2.8140346554426388,5.3126250160858035,1861696,16607360,31353088,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.2,v0_2_008,cpu,16,0.3239236852831942,2.8895787787182803,5.455245007760823,1861696,16607360,31353088,4.583974793846155,31.353088,85.37951096285586,,,,,,,,
v0.2,v0_2_009,cpu,16,0.3233785902443091,2.8847162289008135,5.446064984425902,1861696,16607360,31353088,4.583974793846155,31.353088,85.37951096285586,,,,,,,,
v0.2,v0_2_010,cpu,16,0.374769701,3.3431534160633944,6.311550014652312,1861696,16607360,31353088,5.219173415384615,31.353088,83.35355861794342,,,,,,,,
v0.2,v0_2_011,cpu,16,0.3528673858895365,3.147772627607543,5.942689999938011,1861696,16607360,31353088,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.2,v0_2_012,cpu,16,0.4047198654662835,3.610325480073083,6.815945007838309,1861696,16607360,31353088,4.720088812307693,31.353088,84.94537823,,,,,,,,
v0.3,v0_3_001,cpu,16,0.3253469848963096,2.902275400004929,5.479214999650139,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_002,cpu,16,0.3740325173245267,3.336577328905821,6.299134998698719,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_003,cpu,16,0.31955195060011116,2.8505804826987124,5.381620000116527,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_004,cpu,16,0.33517321835543695,2.989930847779309,5.644699999538716,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
